vdd,vdd18,vwl,vgen,bitline_leakage(uA),Vss(V),Vrbl(V),Instance,Lot Bin Wafer,Part Number,Temp,Date
0.9,2.07,4,4,0.435759,0.004120,0.332592,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,8,8,0.435825,0.004044,0.332439,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,12,12,0.435276,0.004120,0.332744,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,16,16,0.434507,0.003968,0.332439,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,20,20,0.442787,0.003968,0.332592,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,24,24,0.442280,0.004044,0.332592,4,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,28,28,0.435974,0.003968,0.332439,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,0,0,0.332343,0.003815,0.280479,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,4,4,0.344145,0.004044,0.280403,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,8,8,0.343442,0.004120,0.279945,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,12,12,0.343394,0.003815,0.280021,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,16,16,0.344628,0.003891,0.280555,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,20,20,0.343585,0.003891,0.280097,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,24,24,0.343728,0.003891,0.280097,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,28,28,0.343531,0.003891,0.280250,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,0,0,0.254749,0.003891,0.208757,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,4,4,0.271720,0.004044,0.208604,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,8,8,0.271333,0.004196,0.208833,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,12,12,0.270969,0.003891,0.208375,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,16,16,0.270665,0.003968,0.208833,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,20,20,0.262636,0.003891,0.208757,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,24,24,0.271225,0.003968,0.208452,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,28,28,0.271166,0.004120,0.208986,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,0,0,0.247858,0.003739,0.177245,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,4,4,0.255339,0.003891,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,8,8,0.254427,0.003891,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,12,12,0.255107,0.003815,0.177245,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,16,16,0.263232,0.003815,0.176863,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,20,20,0.255500,0.003891,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,24,24,0.255596,0.003891,0.177321,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,28,28,0.255655,0.003968,0.176863,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,0,0,0.257998,0.003281,0.171217,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,4,4,0.258219,0.003662,0.171141,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,8,8,0.257879,0.003586,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,12,12,0.259101,0.003968,0.170912,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,16,16,0.258612,0.003739,0.170836,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,20,20,0.258827,0.004044,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,24,24,0.257730,0.003662,0.171065,4,P9HK27_0i_03,P0019,-40C,231114
0.9,1.53,28,28,0.258576,0.003662,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,0,0,0.422138,0.003891,0.332287,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,4,4,0.443169,0.004044,0.332592,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,8,8,0.442829,0.003891,0.332668,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,12,12,0.435711,0.003968,0.332973,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,16,16,0.435640,0.003968,0.332821,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,20,20,0.435390,0.003891,0.332668,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,24,24,0.434603,0.003891,0.332515,4,P9HK27_0i_03,P0019,-40C,231114
0.8,2.07,28,28,0.443639,0.003891,0.332515,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,0,0,0.332885,0.003815,0.280326,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,4,4,0.343853,0.003891,0.280479,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,8,8,0.343657,0.003815,0.280250,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,12,12,0.343317,0.003739,0.279945,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,16,16,0.343943,0.003815,0.280403,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,20,20,0.342476,0.003739,0.280097,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,24,24,0.344223,0.004044,0.280326,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.98,28,28,0.344748,0.003891,0.280250,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,0,0,0.262767,0.003739,0.208452,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,4,4,0.271017,0.003586,0.207994,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,8,8,0.271440,0.003739,0.208299,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,12,12,0.270683,0.003586,0.208299,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,16,16,0.271261,0.003662,0.208299,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,20,20,0.270242,0.003586,0.208375,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,24,24,0.271029,0.003968,0.207994,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.8,28,28,0.271637,0.003739,0.208375,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,0,0,0.248466,0.003739,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,4,4,0.255530,0.003891,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,8,8,0.254857,0.003891,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,12,12,0.255941,0.003968,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,16,16,0.247316,0.003815,0.177092,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,20,20,0.255936,0.003815,0.176787,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,24,24,0.255566,0.003739,0.177245,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.62,28,28,0.255429,0.003891,0.176787,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,0,0,0.251507,0.003739,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,4,4,0.259584,0.004120,0.170759,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,8,8,0.257962,0.003739,0.171065,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,12,12,0.258183,0.003662,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,16,16,0.250744,0.003739,0.170912,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,20,20,0.258552,0.003815,0.170912,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,24,24,0.258564,0.003739,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.8,1.53,28,28,0.257307,0.003815,0.171065,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,0,0,0.422353,0.481682,0.332134,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,4,4,0.422329,0.478935,0.332668,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,8,8,0.423986,0.478401,0.332897,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,12,12,0.422389,0.478859,0.332744,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,16,16,0.423396,0.479088,0.332821,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,20,20,0.423170,0.479240,0.332973,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,24,24,0.421787,0.479088,0.332973,4,P9HK27_0i_03,P0019,-40C,231114
0.7,2.07,28,28,0.414622,0.479393,0.332973,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,0,0,0.332170,0.407061,0.280097,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,4,4,0.327389,0.403474,0.280250,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,8,8,0.327115,0.403551,0.280784,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,12,12,0.326483,0.403398,0.280403,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,16,16,0.325667,0.403856,0.280784,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,20,20,0.326596,0.403932,0.280555,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,24,24,0.324993,0.403780,0.280555,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.98,28,28,0.319527,0.403474,0.280708,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,0,0,0.262212,0.283455,0.208528,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,4,4,0.258546,0.281242,0.208528,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,8,8,0.259542,0.281471,0.209062,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,12,12,0.259172,0.281013,0.208680,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,16,16,0.259476,0.280937,0.208604,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,20,20,0.260496,0.280937,0.208757,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,24,24,0.257682,0.281166,0.208528,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.8,28,28,0.259274,0.281089,0.208833,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,0,0,0.262075,0.003128,0.176787,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,4,4,0.254684,0.003586,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,8,8,0.262952,0.003510,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,12,12,0.261992,0.003510,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,16,16,0.255316,0.003586,0.177016,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,20,20,0.263428,0.003891,0.176787,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,24,24,0.262344,0.003433,0.177245,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.62,28,28,0.263405,0.003510,0.176558,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,0,0,0.251352,0.003739,0.171217,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,4,4,0.258940,0.003662,0.171141,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,8,8,0.258445,0.003815,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,12,12,0.250076,0.003662,0.171065,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,16,16,0.258511,0.003739,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,20,20,0.257944,0.003815,0.170607,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,24,24,0.258230,0.003662,0.170759,4,P9HK27_0i_03,P0019,-40C,231114
0.7,1.53,28,28,0.258558,0.003662,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,0,0,0.422812,0.482445,0.332515,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,4,4,0.415647,0.478706,0.332821,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,8,8,0.415480,0.479317,0.333202,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,12,12,0.415695,0.479240,0.333050,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,16,16,0.415593,0.479469,0.333202,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,20,20,0.407999,0.479622,0.333431,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,24,24,0.414204,0.479317,0.332973,4,P9HK27_0i_03,P0019,-40C,231114
0.68,2.07,28,28,0.415450,0.479011,0.333050,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,0,0,0.324802,0.407595,0.280555,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,4,4,0.325869,0.403780,0.280555,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,8,8,0.335288,0.403780,0.280403,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,12,12,0.326251,0.403551,0.280403,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,16,16,0.327509,0.403627,0.280708,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,20,20,0.326751,0.403780,0.280326,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,24,24,0.325321,0.403627,0.280479,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.98,28,28,0.326865,0.403627,0.280479,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,0,0,0.261747,0.283836,0.208604,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,4,4,0.259828,0.280631,0.208452,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,8,8,0.258695,0.281166,0.208986,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,12,12,0.258660,0.280860,0.208680,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,16,16,0.259095,0.280937,0.208604,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,20,20,0.257795,0.281166,0.208833,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,24,24,0.259596,0.281089,0.208680,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.8,28,28,0.266916,0.281166,0.208909,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,0,0,0.255119,0.005722,0.177169,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,4,4,0.263160,0.014268,0.177169,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,8,8,0.262189,0.016710,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,12,12,0.262338,0.063634,0.176940,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,16,16,0.262385,0.032885,0.177474,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,20,20,0.263041,0.033343,0.176863,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,24,24,0.260359,0.045246,0.177169,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.62,28,28,0.258898,0.134593,0.176863,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,0,0,0.251465,0.003433,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,4,4,0.259697,0.003662,0.170683,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,8,8,0.258654,0.003433,0.170988,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,12,12,0.257962,0.003433,0.170607,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,16,16,0.265932,0.003433,0.170759,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,20,20,0.258612,0.003433,0.171217,4,P9HK27_0i_03,P0019,-40C,231114
0.68,1.53,24,24,0.250827,0.003510,0.170530,4,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,0,0,0.475697,0.003891,0.332744,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,4,4,0.434936,0.004044,0.331905,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,8,8,0.435705,0.003968,0.332210,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,12,12,0.442865,0.003968,0.331829,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,16,16,0.435401,0.003968,0.331829,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,20,20,0.434895,0.003968,0.332058,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,24,24,0.435699,0.004044,0.332134,3,P9HK27_0i_03,P0019,-40C,231114
0.92,2.07,28,28,0.443574,0.003968,0.331829,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,0,0,0.332349,0.003815,0.279411,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,4,4,0.344497,0.004120,0.279640,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,8,8,0.344181,0.003815,0.279563,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,12,12,0.343979,0.003891,0.279182,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,16,16,0.344956,0.004273,0.279258,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,20,20,0.344199,0.003815,0.279334,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,24,24,0.343442,0.003891,0.279411,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.98,28,28,0.343573,0.003815,0.279182,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,0,0,0.247125,0.003815,0.208757,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,4,4,0.255936,0.004120,0.208604,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,8,8,0.271917,0.003891,0.208757,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,12,12,0.271959,0.004654,0.208986,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,16,16,0.271511,0.003968,0.208757,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,20,20,0.271321,0.004731,0.208528,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,24,24,0.271583,0.003968,0.208909,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.8,28,28,0.271082,0.003891,0.208604,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,0,0,0.255292,0.003586,0.177321,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,4,4,0.262809,0.003815,0.177169,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,8,8,0.255083,0.003815,0.176787,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,12,12,0.254863,0.003815,0.177245,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,16,16,0.255584,0.003815,0.176787,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,20,20,0.256430,0.003815,0.176940,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,24,24,0.262624,0.003815,0.177474,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.62,28,28,0.256043,0.004273,0.176787,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,0,0,0.251232,0.003739,0.170836,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,4,4,0.249641,0.003891,0.170759,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,8,8,0.251423,0.003815,0.170683,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,12,12,0.258540,0.003891,0.170759,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,16,16,0.250732,0.003891,0.170759,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,20,20,0.251131,0.003968,0.170988,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,24,24,0.258445,0.003586,0.170683,3,P9HK27_0i_03,P0019,-40C,231114
0.92,1.53,28,28,0.258040,0.003739,0.170988,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,0,0,0.429774,0.003586,0.331905,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,4,4,0.435395,0.004044,0.332515,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,8,8,0.442841,0.003891,0.332592,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,12,12,0.435246,0.004044,0.332821,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,16,16,0.435598,0.003968,0.332515,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,20,20,0.435574,0.004425,0.332744,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,24,24,0.435300,0.003968,0.332515,3,P9HK27_0i_03,P0019,-40C,231114
0.9,2.07,28,28,0.443008,0.003968,0.332515,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,0,0,0.332569,0.003968,0.280097,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,4,4,0.344193,0.003968,0.279792,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,8,8,0.344038,0.003815,0.280174,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,12,12,0.343478,0.003815,0.280021,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,16,16,0.344545,0.004273,0.280250,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,20,20,0.342345,0.003815,0.280097,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,24,24,0.344420,0.003815,0.280021,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.98,28,28,0.343800,0.003891,0.279945,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,0,0,0.262254,0.003433,0.208452,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,4,4,0.278402,0.003968,0.208375,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,8,8,0.278146,0.003891,0.208909,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,12,12,0.271321,0.003739,0.208375,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,16,16,0.272424,0.003739,0.208375,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,20,20,0.270397,0.003815,0.208528,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,24,24,0.270993,0.003739,0.208528,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.8,28,28,0.271500,0.003891,0.208528,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,0,0,0.240330,0.003968,0.177169,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,4,4,0.255524,0.003968,0.176787,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,8,8,0.255065,0.003815,0.176940,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,12,12,0.255369,0.004044,0.177016,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,16,16,0.254952,0.003968,0.177016,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,20,20,0.248192,0.004273,0.176863,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,24,24,0.254988,0.003815,0.177169,3,P9HK27_0i_03,P0019,-40C,231114
0.9,1.62,28,28,0.256406,0.004349,0.176940,3,P9HK27_0i_03,P0019,-40C,231114
