vdd,vdd18,vwl,vgen,bitline_leakage(uA),Vss(V),Vrbl(V),Instance,Lot Bin Wafer,Part Number,Temp,Date
0.9,1.53,8,8,0.258230,0.003510,0.170302,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,12,12,0.257879,0.003739,0.171217,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,16,16,0.250940,0.003739,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,20,20,0.258660,0.004578,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,24,24,0.250910,0.004654,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.9,1.53,28,28,0.257867,0.003510,0.170607,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,0,0,0.422931,0.003815,0.332287,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,4,4,0.435908,0.004120,0.332973,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,8,8,0.435497,0.003891,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,12,12,0.435878,0.004044,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,16,16,0.435437,0.003968,0.332744,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,20,20,0.435550,0.003891,0.332744,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,24,24,0.435813,0.003891,0.332821,4,P9HK27_0i_03,P0015,-40C,231114
0.8,2.07,28,28,0.435902,0.004273,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,0,0,0.332599,0.003739,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,4,4,0.343925,0.003968,0.280555,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,8,8,0.343996,0.003815,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,12,12,0.344157,0.003739,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,16,16,0.343865,0.003739,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,20,20,0.344217,0.003815,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,24,24,0.344408,0.003891,0.280555,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.98,28,28,0.343919,0.003891,0.280097,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,0,0,0.261986,0.003357,0.208528,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,4,4,0.279046,0.003662,0.208146,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,8,8,0.278057,0.003433,0.208452,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,12,12,0.278450,0.003433,0.208757,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,16,16,0.277991,0.003433,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,20,20,0.278629,0.003433,0.208757,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,24,24,0.270623,0.003586,0.208070,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.8,28,28,0.270975,0.003586,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,0,0,0.248276,0.003205,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,4,4,0.263220,0.003357,0.176863,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,8,8,0.262874,0.003357,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,12,12,0.255280,0.003510,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,16,16,0.262987,0.003357,0.176940,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,20,20,0.262701,0.003510,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,24,24,0.254988,0.003662,0.177321,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.62,28,28,0.262773,0.003510,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,0,0,0.251113,0.003357,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,4,4,0.265229,0.003357,0.170378,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,8,8,0.258356,0.003357,0.170836,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,12,12,0.258058,0.003281,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,16,16,0.258481,0.003357,0.170912,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,20,20,0.258594,0.003281,0.170454,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,24,24,0.257533,0.003662,0.170988,4,P9HK27_0i_03,P0015,-40C,231114
0.8,1.53,28,28,0.258207,0.003662,0.170454,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,0,0,0.421793,0.481987,0.332287,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,4,4,0.422877,0.478706,0.332668,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,8,8,0.415730,0.479011,0.333507,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,12,12,0.415832,0.478630,0.333126,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,16,16,0.415653,0.479546,0.333278,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,20,20,0.415331,0.478935,0.333050,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,24,24,0.415236,0.478477,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
0.7,2.07,28,28,0.415528,0.478783,0.332897,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,0,0,0.324427,0.407213,0.280326,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,4,4,0.326948,0.403398,0.280403,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,8,8,0.327598,0.403398,0.280479,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,12,12,0.327163,0.403169,0.280403,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,16,16,0.326740,0.404085,0.280250,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,20,20,0.326656,0.404009,0.280555,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,24,24,0.327163,0.402940,0.280174,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.98,28,28,0.326543,0.403627,0.280708,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,0,0,0.262177,0.283531,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,4,4,0.262111,0.283302,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,8,8,0.259786,0.280784,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,12,12,0.259458,0.280631,0.208680,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,16,16,0.259780,0.280555,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,20,20,0.259435,0.280784,0.208833,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,24,24,0.259387,0.280784,0.208604,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.8,28,28,0.259387,0.280479,0.208375,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,0,0,0.255214,0.003357,0.177092,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,4,4,0.263160,0.003357,0.177169,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,8,8,0.262499,0.003281,0.176711,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,12,12,0.255351,0.003281,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,16,16,0.262451,0.003357,0.177169,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,20,20,0.262832,0.003510,0.176787,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,24,24,0.262135,0.003586,0.176863,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.62,28,28,0.263118,0.003433,0.176482,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,0,0,0.250225,0.003205,0.171141,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,4,4,0.258010,0.003357,0.171065,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,8,8,0.258171,0.003357,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,12,12,0.257885,0.003357,0.170836,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,16,16,0.258970,0.003281,0.170683,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,20,20,0.258379,0.003281,0.170607,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,24,24,0.266176,0.003586,0.170759,4,P9HK27_0i_03,P0015,-40C,231114
0.7,1.53,28,28,0.266248,0.003205,0.170530,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,0,0,0.422311,0.481987,0.332439,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,4,4,0.415617,0.478783,0.332744,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,8,8,0.423038,0.478477,0.332821,4,P9HK27_0i_03,P0015,-40C,231114
0.68,2.07,12,12,0.422478,0.478325,0.332592,4,P9HK27_0i_03,P0015,-40C,231114
