Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9HK26_0I_05,P0013,0,025C,210624,0xff:,181.8910,1,0x000c,2.9882,0x0011,1.4902,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,211.2981,1,0x000c,2.9882,0x0011,1.4902,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,181.8910,1,0x000c,2.9882,0x0011,1.4902,0x0e,40,0x00000002,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,211.2981,1,0x000c,2.9882,0x0011,1.4902,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,181.8910,1,0x000c,2.9882,0x0011,1.4902,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.4968,1,0x000e,2.9841,0x0009,1.4895,0x07,20,0x000001b8,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,132.3718,1,0x000e,2.9841,0x0009,1.4895,0x07,20,0x0000000e,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.4968,1,0x000e,2.9841,0x0009,1.4895,0x09,25,0x00000172,0x0000000b,0x00000002,0x00000001,0x00000001,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,132.3718,1,0x000e,2.9841,0x0009,1.4895,0x09,25,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.4968,1,0x000e,2.9841,0x0009,1.4895,0x0a,30,0x000000e4,0x00000003,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,132.3718,1,0x000e,2.9841,0x0009,1.4895,0x0a,30,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.4968,1,0x000e,2.9841,0x0009,1.4895,0x0e,40,0x00000058,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,132.3718,1,0x000e,2.9841,0x0009,1.4895,0x0e,40,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.4968,1,0x000e,2.9841,0x0009,1.4895,0x13,55,0x0000002d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,132.3718,1,0x000e,2.9841,0x0009,1.4895,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,183.2532,1,0x000e,2.9841,0x000a,1.4911,0x07,20,0x00000113,0x00000003,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,147.3558,1,0x000e,2.9841,0x000a,1.4911,0x07,20,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,183.2532,1,0x000e,2.9841,0x000a,1.4911,0x09,25,0x0000013d,0x00000009,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,147.3558,1,0x000e,2.9841,0x000a,1.4911,0x09,25,0x00000004,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,183.2532,1,0x000e,2.9841,0x000a,1.4911,0x0a,30,0x00000085,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,147.3558,1,0x000e,2.9841,0x000a,1.4911,0x0a,30,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,183.2532,1,0x000e,2.9841,0x000a,1.4911,0x0e,40,0x00000034,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,147.3558,1,0x000e,2.9841,0x000a,1.4911,0x0e,40,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,183.2532,1,0x000e,2.9841,0x000a,1.4911,0x13,55,0x0000001d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,147.3558,1,0x000e,2.9841,0x000a,1.4911,0x13,55,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.3365,1,0x000e,2.9841,0x000b,1.4917,0x07,20,0x000000af,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,151.2019,1,0x000e,2.9841,0x000b,1.4917,0x07,20,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.3365,1,0x000e,2.9841,0x000b,1.4917,0x09,25,0x000000cd,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,151.2019,1,0x000e,2.9841,0x000b,1.4917,0x09,25,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.3365,1,0x000e,2.9841,0x000b,1.4917,0x0a,30,0x0000004f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,151.2019,1,0x000e,2.9841,0x000b,1.4917,0x0a,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.3365,1,0x000e,2.9841,0x000b,1.4917,0x0e,40,0x00000012,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,151.2019,1,0x000e,2.9841,0x000b,1.4917,0x0e,40,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,185.3365,1,0x000e,2.9841,0x000b,1.4917,0x13,55,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,151.2019,1,0x000e,2.9841,0x000b,1.4917,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.1923,1,0x000e,2.9841,0x000c,1.4927,0x07,20,0x00000063,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,146.6346,1,0x000e,2.9841,0x000c,1.4927,0x07,20,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.1923,1,0x000e,2.9841,0x000c,1.4927,0x09,25,0x0000008a,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,146.6346,1,0x000e,2.9841,0x000c,1.4927,0x09,25,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.1923,1,0x000e,2.9841,0x000c,1.4927,0x0a,30,0x00000017,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,146.6346,1,0x000e,2.9841,0x000c,1.4927,0x0a,30,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.1923,1,0x000e,2.9841,0x000c,1.4927,0x0e,40,0x00000009,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,146.6346,1,0x000e,2.9841,0x000c,1.4927,0x0e,40,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,195.1923,1,0x000e,2.9841,0x000c,1.4927,0x13,55,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,146.6346,1,0x000e,2.9841,0x000c,1.4927,0x13,55,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,192.2276,1,0x000e,2.9841,0x000d,1.4914,0x07,20,0x00000044,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,169.2308,1,0x000e,2.9841,0x000d,1.4914,0x07,20,0x00000005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,192.2276,1,0x000e,2.9841,0x000d,1.4914,0x09,25,0x00000058,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,169.2308,1,0x000e,2.9841,0x000d,1.4914,0x09,25,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,192.2276,1,0x000e,2.9841,0x000d,1.4914,0x0a,30,0x00000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0xff:,169.2308,1,0x000e,2.9841,0x000d,1.4914,0x0a,30,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,0,025C,210624,0x00:,192.2276,1,0x000e,2.9841,0x000d,1.4914,0x0e,40,0x00000005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
