# HEADER
# GIT REVISION: master
# HEADER
#< set_vdd   0.72
#< set_vddbl 1.62
#< pmu_reset
#< sleep 500
#< set_prg_vwl 0xd # Starting VWL
#< set_prg_vbl 0x13 # Starting VBL
#< vili_prg_shmoo 0 0x00 0 20 0x14 0xb 1 0
#>> 
PrgSmoo
Data ivdd18/bit ivdd/bit VWL Vwl(meas) VBL Vbl(meas) PRG_CNT PRG_Time Pulse1 Pulse2 Pulse3 Pulse4 Pulse5 Pulse6
0xff: 199.5192 1.1218 0x000b 2.0145 0x0016 1.2717 0x0d 30 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 192.9487 -0.1603 0x000b 2.0145 0x0016 1.2717 0x11 40 0x0000001c 0x00000010 0x0000000b 0x0000000c 0x0000000a 0x0000000c
0xff: 199.5192 1.1218 0x000b 2.0145 0x0016 1.2717 0x11 40 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 192.9487 -0.1603 0x000b 2.0145 0x0016 1.2717 0x17 55 0x00000016 0x0000000d 0x0000000c 0x0000000e 0x0000000e 0x0000000b
0xff: 199.5192 1.1218 0x000b 2.0145 0x0016 1.2717 0x17 55 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 222.0353 1.1218 0x000b 2.0145 0x0018 1.3212 0x08 20 0x00000015 0x0000000b 0x0000000b 0x0000000b 0x0000000a 0x0000000a
0xff: 223.8782 -3.2853 0x000b 2.0145 0x0018 1.3212 0x08 20 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 222.0353 1.1218 0x000b 2.0145 0x0018 1.3212 0x0a 25 0x00000016 0x0000000d 0x0000000e 0x0000000b 0x00000008 0x0000000b
0xff: 223.8782 -3.2853 0x000b 2.0145 0x0018 1.3212 0x0a 25 0x00000001 0x00000001 0x00000001 0x00000001 0x00000000 0x00000000
0x00: 222.0353 1.1218 0x000b 2.0145 0x0018 1.3212 0x0d 30 0x00000016 0x00000009 0x0000000d 0x0000000b 0x0000000c 0x0000000b
0xff: 223.8782 -3.2853 0x000b 2.0145 0x0018 1.3212 0x0d 30 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 222.0353 1.1218 0x000b 2.0145 0x0018 1.3212 0x11 40 0x00000015 0x0000000b 0x0000000e 0x0000000b 0x0000000a 0x0000000b
0xff: 223.8782 -3.2853 0x000b 2.0145 0x0018 1.3212 0x11 40 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 222.0353 1.1218 0x000b 2.0145 0x0018 1.3212 0x17 55 0x00000016 0x0000000b 0x00000008 0x00000009 0x00000009 0x0000000c
0xff: 223.8782 -3.2853 0x000b 2.0145 0x0018 1.3212 0x17 55 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
#< set_vdd   0.88
#< set_vddbl 1.98
#< pmu_reset
#< sleep 500
#< set_prg_vwl 0xd # Starting VWL
#< set_prg_vbl 0x13 # Starting VBL
#< vili_prg_shmoo 0 0x00 0 20 0x14 0xb 1 0
#>> 
PrgSmoo
Data ivdd18/bit ivdd/bit VWL Vwl(meas) VBL Vbl(meas) PRG_CNT PRG_Time Pulse1 Pulse2 Pulse3 Pulse4 Pulse5 Pulse6
0x00: 204.4872 3.6058 0x000b 2.0186 0x0010 1.1235 0x08 20 0x0000001d 0x00000012 0x00000014 0x00000013 0x00000011 0x00000012
0xff: 186.2179 1.6026 0x000b 2.0186 0x0010 1.1235 0x08 20 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000000
0x00: 204.4872 3.6058 0x000b 2.0186 0x0010 1.1235 0x0a 25 0x0000001d 0x00000012 0x00000011 0x00000016 0x00000014 0x00000014
0xff: 186.2179 1.6026 0x000b 2.0186 0x0010 1.1235 0x0a 25 0x00000001 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000
0x00: 204.4872 3.6058 0x000b 2.0186 0x0010 1.1235 0x0c 30 0x00000017 0x00000012 0x0000000e 0x00000012 0x00000010 0x0000000f
0xff: 186.2179 1.6026 0x000b 2.0186 0x0010 1.1235 0x0c 30 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 204.4872 3.6058 0x000b 2.0186 0x0010 1.1235 0x10 40 0x0000001e 0x00000014 0x00000011 0x00000011 0x00000013 0x00000013
0xff: 186.2179 1.6026 0x000b 2.0186 0x0010 1.1235 0x10 40 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 204.4872 3.6058 0x000b 2.0186 0x0010 1.1235 0x17 55 0x0000001b 0x00000013 0x00000012 0x00000015 0x00000010 0x00000012
0xff: 186.2179 1.6026 0x000b 2.0186 0x0010 1.1235 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 202.9647 -3.6859 0x000b 2.0186 0x0012 1.1737 0x08 20 0x00000024 0x00000015 0x00000012 0x00000011 0x00000011 0x0000000f
0xff: 186.5385 0.2404 0x000b 2.0186 0x0012 1.1737 0x08 20 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 202.9647 -3.6859 0x000b 2.0186 0x0012 1.1737 0x0a 25 0x0000001b 0x00000011 0x00000013 0x00000011 0x00000014 0x00000012
0xff: 186.5385 0.2404 0x000b 2.0186 0x0012 1.1737 0x0a 25 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 202.9647 -3.6859 0x000b 2.0186 0x0012 1.1737 0x0c 30 0x0000001d 0x0000000f 0x00000012 0x00000011 0x00000012 0x00000012
0xff: 186.5385 0.2404 0x000b 2.0186 0x0012 1.1737 0x0c 30 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 202.9647 -3.6859 0x000b 2.0186 0x0012 1.1737 0x10 40 0x00000021 0x00000015 0x0000000f 0x00000011 0x00000016 0x00000011
0xff: 186.5385 0.2404 0x000b 2.0186 0x0012 1.1737 0x10 40 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 202.9647 -3.6859 0x000b 2.0186 0x0012 1.1737 0x17 55 0x0000001e 0x00000013 0x00000017 0x00000013 0x00000013 0x00000017
0xff: 186.5385 0.2404 0x000b 2.0186 0x0012 1.1737 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 204.0064 4.7276 0x000b 2.0186 0x0014 1.2232 0x08 20 0x0000001e 0x00000013 0x00000014 0x00000016 0x00000012 0x00000015
0xff: 185.4167 4.5673 0x000b 2.0186 0x0014 1.2232 0x08 20 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 204.0064 4.7276 0x000b 2.0186 0x0014 1.2232 0x0a 25 0x0000001e 0x00000012 0x00000014 0x00000010 0x00000012 0x00000011
0xff: 185.4167 4.5673 0x000b 2.0186 0x0014 1.2232 0x0a 25 0x00000001 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000
0x00: 204.0064 4.7276 0x000b 2.0186 0x0014 1.2232 0x0c 30 0x0000001f 0x00000014 0x00000015 0x00000013 0x00000014 0x00000014
0xff: 185.4167 4.5673 0x000b 2.0186 0x0014 1.2232 0x0c 30 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 204.0064 4.7276 0x000b 2.0186 0x0014 1.2232 0x10 40 0x0000001f 0x00000012 0x00000018 0x00000015 0x00000015 0x00000012
0xff: 185.4167 4.5673 0x000b 2.0186 0x0014 1.2232 0x10 40 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 204.0064 4.7276 0x000b 2.0186 0x0014 1.2232 0x17 55 0x0000001d 0x00000011 0x00000013 0x00000011 0x00000013 0x00000011
0xff: 185.4167 4.5673 0x000b 2.0186 0x0014 1.2232 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 226.6827 3.6058 0x000b 2.0186 0x0016 1.2731 0x08 20 0x0000001d 0x0000000e 0x0000000c 0x0000000f 0x00000018 0x00000017
0xff: 217.8686 2.7244 0x000b 2.0186 0x0016 1.2731 0x08 20 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000000
0x00: 226.6827 3.6058 0x000b 2.0186 0x0016 1.2731 0x0a 25 0x0000001e 0x00000013 0x0000000f 0x00000012 0x00000017 0x00000013
0xff: 217.8686 2.7244 0x000b 2.0186 0x0016 1.2731 0x0a 25 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000000
0x00: 226.6827 3.6058 0x000b 2.0186 0x0016 1.2731 0x0c 30 0x00000023 0x00000018 0x00000011 0x00000011 0x0000000e 0x0000000f
0xff: 217.8686 2.7244 0x000b 2.0186 0x0016 1.2731 0x0c 30 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 226.6827 3.6058 0x000b 2.0186 0x0016 1.2731 0x10 40 0x00000023 0x00000012 0x00000012 0x00000015 0x00000014 0x00000012
0xff: 217.8686 2.7244 0x000b 2.0186 0x0016 1.2731 0x10 40 0x00000001 0x00000001 0x00000001 0x00000000 0x00000000 0x00000000
0x00: 226.6827 3.6058 0x000b 2.0186 0x0016 1.2731 0x17 55 0x0000001b 0x00000012 0x00000014 0x00000012 0x00000013 0x00000011
0xff: 217.8686 2.7244 0x000b 2.0186 0x0016 1.2731 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000000 0x00000000
0x00: 252.5641 1.0417 0x000b 2.0186 0x0018 1.3222 0x08 20 0x00000021 0x00000011 0x00000011 0x0000000e 0x00000013 0x00000013
0xff: 213.1410 1.7628 0x000b 2.0186 0x0018 1.3222 0x08 20 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 252.5641 1.0417 0x000b 2.0186 0x0018 1.3222 0x0a 25 0x0000001c 0x00000013 0x00000012 0x00000012 0x00000013 0x00000014
0xff: 213.1410 1.7628 0x000b 2.0186 0x0018 1.3222 0x0a 25 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 252.5641 1.0417 0x000b 2.0186 0x0018 1.3222 0x0c 30 0x0000001f 0x00000011 0x00000012 0x00000013 0x00000013 0x00000011
0xff: 213.1410 1.7628 0x000b 2.0186 0x0018 1.3222 0x0c 30 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 252.5641 1.0417 0x000b 2.0186 0x0018 1.3222 0x10 40 0x00000020 0x00000011 0x00000014 0x00000015 0x00000014 0x00000013
0xff: 213.1410 1.7628 0x000b 2.0186 0x0018 1.3222 0x10 40 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
0x00: 252.5641 1.0417 0x000b 2.0186 0x0018 1.3222 0x17 55 0x0000001c 0x0000000f 0x00000010 0x00000015 0x00000013 0x00000014
0xff: 213.1410 1.7628 0x000b 2.0186 0x0018 1.3222 0x17 55 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001 0x00000001
