Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6
P9HK26_0I_05,P0013,2,025C,210624,0x00:,196.6346,-0.3205,0x000c,2.9997,0x000e,1.4949,0x0b,30,0x00000049,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,167.3878,-5.1282,0x000c,2.9997,0x000e,1.4949,0x0b,30,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,196.6346,-0.3205,0x000c,2.9997,0x000e,1.4949,0x0e,40,0x0000001a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,167.3878,-5.1282,0x000c,2.9997,0x000e,1.4949,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,196.6346,-0.3205,0x000c,2.9997,0x000e,1.4949,0x13,55,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,167.3878,-5.1282,0x000c,2.9997,0x000e,1.4949,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,194.0705,-1.0417,0x000c,2.9997,0x000f,1.4943,0x07,20,0x00000087,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.7404,-5.5288,0x000c,2.9997,0x000f,1.4943,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,194.0705,-1.0417,0x000c,2.9997,0x000f,1.4943,0x09,25,0x00000033,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.7404,-5.5288,0x000c,2.9997,0x000f,1.4943,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,194.0705,-1.0417,0x000c,2.9997,0x000f,1.4943,0x0b,30,0x0000001d,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.7404,-5.5288,0x000c,2.9997,0x000f,1.4943,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,194.0705,-1.0417,0x000c,2.9997,0x000f,1.4943,0x0e,40,0x00000016,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.7404,-5.5288,0x000c,2.9997,0x000f,1.4943,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,194.0705,-1.0417,0x000c,2.9997,0x000f,1.4943,0x13,55,0x00000004,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,162.7404,-5.5288,0x000c,2.9997,0x000f,1.4943,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,201.6026,-1.2019,0x000c,2.9997,0x0010,1.4939,0x07,20,0x00000041,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,182.2115,-3.7660,0x000c,2.9997,0x0010,1.4939,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,201.6026,-1.2019,0x000c,2.9997,0x0010,1.4939,0x09,25,0x0000001d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,182.2115,-3.7660,0x000c,2.9997,0x0010,1.4939,0x09,25,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,201.6026,-1.2019,0x000c,2.9997,0x0010,1.4939,0x0b,30,0x00000015,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,182.2115,-3.7660,0x000c,2.9997,0x0010,1.4939,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,201.6026,-1.2019,0x000c,2.9997,0x0010,1.4939,0x0e,40,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,182.2115,-3.7660,0x000c,2.9997,0x0010,1.4939,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,201.6026,-1.2019,0x000c,2.9997,0x0010,1.4939,0x13,55,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,182.2115,-3.7660,0x000c,2.9997,0x0010,1.4939,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,211.7788,2.8045,0x000c,2.9997,0x0011,1.4940,0x07,20,0x0000002a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,187.5801,-1.8430,0x000c,2.9997,0x0011,1.4940,0x07,20,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,211.7788,2.8045,0x000c,2.9997,0x0011,1.4940,0x09,25,0x00000012,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,187.5801,-1.8430,0x000c,2.9997,0x0011,1.4940,0x09,25,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,211.7788,2.8045,0x000c,2.9997,0x0011,1.4940,0x0b,30,0x00000005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,187.5801,-1.8430,0x000c,2.9997,0x0011,1.4940,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,211.7788,2.8045,0x000c,2.9997,0x0011,1.4940,0x0e,40,0x00000006,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,187.5801,-1.8430,0x000c,2.9997,0x0011,1.4940,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,211.7788,2.8045,0x000c,2.9997,0x0011,1.4940,0x13,55,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,187.5801,-1.8430,0x000c,2.9997,0x0011,1.4940,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,173.8782,-0.3205,0x000e,2.9948,0x0009,1.4940,0x07,20,0x00000359,0x0000000b,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,131.5705,-2.6442,0x000e,2.9948,0x0009,1.4940,0x07,20,0x00000017,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,173.8782,-0.3205,0x000e,2.9948,0x0009,1.4940,0x09,25,0x000001ed,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,131.5705,-2.6442,0x000e,2.9948,0x0009,1.4940,0x09,25,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,173.8782,-0.3205,0x000e,2.9948,0x0009,1.4940,0x0b,30,0x000001ac,0x0000000a,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,131.5705,-2.6442,0x000e,2.9948,0x0009,1.4940,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,173.8782,-0.3205,0x000e,2.9948,0x0009,1.4940,0x0e,40,0x00000119,0x00000005,0x00000001,0x00000001,0x00000001,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,131.5705,-2.6442,0x000e,2.9948,0x0009,1.4940,0x0e,40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,173.8782,-0.3205,0x000e,2.9948,0x0009,1.4940,0x13,55,0x00000083,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,131.5705,-2.6442,0x000e,2.9948,0x0009,1.4940,0x13,55,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,183.8942,0.5609,0x000e,2.9948,0x000a,1.4958,0x07,20,0x0000020e,0x0000000a,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,147.4359,-5.5288,0x000e,2.9948,0x000a,1.4958,0x07,20,0x0000000f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,183.8942,0.5609,0x000e,2.9948,0x000a,1.4958,0x09,25,0x000001df,0x00000007,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,147.4359,-5.5288,0x000e,2.9948,0x000a,1.4958,0x09,25,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,183.8942,0.5609,0x000e,2.9948,0x000a,1.4958,0x0b,30,0x00000178,0x00000009,0x00000001,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,147.4359,-5.5288,0x000e,2.9948,0x000a,1.4958,0x0b,30,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0x00:,183.8942,0.5609,0x000e,2.9948,0x000a,1.4958,0x0e,40,0x000000c2,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000
P9HK26_0I_05,P0013,2,025C,210624,0xff:,147.4359,-5.5288,0x000e,2.9948,0x000a,1.4958,0x0e,40,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
